,id,state,units_n,con_type,status,loi_date,closedate,concomdate,stabdate,totalcost,hardcost,sources_n,df,yr_pis
214,217.0,CA,69.0,New Construction,Stabilized,3/17/11,9/16/11,9/1/12,4/1/14,"$12,588,745 ","$6,614,655 ",4.0,g,2012
215,218.0,CA,81.0,New Construction,Stabilized,7/16/14,10/31/14,10/5/15,6/1/17,"$14,480,450 ","$9,775,419 ",3.0,g,2015
216,219.0,NY,104.0,New Construction,Stabilized,7/22/08,12/22/08,12/14/10,2/1/12,"$26,569,070 ","$18,215,779 ",5.0,g,2010
217,220.0,CA,100.0,Rehab - TIP,Stabilized,1/22/16,7/7/16,12/29/17,1/0/00,"$24,730,856 ","$6,825,608 ",3.0,g,2017
218,221.0,CA,40.0,New Construction,Stabilized,8/29/06,11/2/06,12/1/07,3/1/09,"$12,505,713 ","$7,655,455 ",5.0,g,2007
219,222.0,VA,152.0,Rehab,Stabilized,3/3/08,8/1/08,7/1/10,2/1/11,"$56,120,188 ","$15,994,146 ",3.0,g,2010
220,223.0,TX,110.0,New Construction,Construction,3/2/18,10/19/18,,,,"$11,227,000 ",2.0,g,
221,224.0,TX,215.0,New Construction,Operational,1/16/15,7/16/15,12/21/17,,"$41,748,371 ","$29,751,808 ",7.0,g,2017
222,225.0,TX,201.0,New Construction,Stabilized,12/1/09,11/16/10,3/19/12,10/1/13,"$24,633,961 ","$17,436,592 ",3.0,g,2012
223,226.0,TX,252.0,New Construction,Stabilized,8/1/11,10/12/11,12/17/12,9/1/13,"$29,463,191 ","$17,449,715 ",3.0,g,2012
